Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,31.885339457335913,2025-09-08 21:00:00+00:00,313.31044799999995,9.99000999000964,2025-09-11 21:00:00+00:00,303.2572,9.669458764881208,-340.2106938836727,-0.034055090457755635,Long,Closed,0
1,0,31.821632485393184,2025-09-11 21:00:00+00:00,303.2572,9.650139166949378,2025-10-07 21:00:00+00:00,282.12551999999994,8.977694612188653,653.8167209797986,0.06775205099829502,Short,Closed,1
2,0,36.520279074263684,2025-10-07 21:00:00+00:00,282.12551999999994,10.303302724369704,2025-10-27 21:00:00+00:00,289.228432,10.562703052851697,238.53432270271685,0.023151248593179758,Long,Closed,2
3,0,36.44731148370572,2025-10-27 21:00:00+00:00,289.228432,10.541598751047799,2025-10-30 21:00:00+00:00,292.12351199999995,10.647116633576886,-126.70659791486929,-0.012019675658995756,Short,Closed,3
4,0,35.652791731296276,2025-10-30 21:00:00+00:00,292.12351199999995,10.415018733149694,2025-11-17 21:00:00+00:00,299.200448,10.66733125845454,231.2301753121118,0.02220160916044348,Long,Closed,4
5,0,35.58155738218281,2025-11-17 21:00:00+00:00,299.200448,10.646017909286803,2025-11-19 21:00:00+00:00,308.136312,10.963969866961843,-339.56194545162964,-0.03189567670700805,Short,Closed,5
6,0,33.44881724474557,2025-11-19 21:00:00+00:00,308.136312,10.306795186557583,2025-11-29 21:00:00+00:00,304.985816,10.2014148216236,-125.888574942482,-0.012214133750000737,Long,Closed,6
7,0,33.381986441059766,2025-11-29 21:00:00+00:00,304.985816,10.18103237442755,2026-01-16 21:00:00+00:00,301.52102399999995,10.065370734861519,95.41523645580538,0.009371862591800307,Short,Closed,7
8,0,34.08171063708916,2026-01-16 21:00:00+00:00,301.52102399999995,10.276352290965859,2026-02-02 21:00:00+00:00,303.566952,10.346081017047135,49.10629277230749,0.004778572335971123,Long,Closed,8
9,0,34.013615311140924,2026-02-02 21:00:00+00:00,303.566952,10.325409526503583,2026-02-15 21:00:00+00:00,311.24879999999996,10.586696949252273,-282.19952922641033,-0.027330589503694918,Short,Closed,9
10,0,32.26837152428793,2026-02-15 21:00:00+00:00,311.24879999999996,10.043491914886927,2026-03-02 21:00:00+00:00,311.580536,10.05419649538477,-9.393107914290052,-0.0009352432394917762,Long,Closed,10
11,0,32.20389925351013,2026-03-02 21:00:00+00:00,311.580536,10.034108190698683,2026-03-17 21:00:00+00:00,320.76640799999996,10.329929087141759,-316.1849337214785,-0.031511015001270605,Short,Closed,11
12,0,30.296935351291104,2026-03-17 21:00:00+00:00,320.76640799999996,9.71823912604133,2026-03-23 21:00:00+00:00,316.916264,9.601591562180705,-135.96739454938117,-0.01399094967575255,Long,Closed,12
13,0,30.23640201392589,2026-03-23 21:00:00+00:00,316.916264,9.582407563055469,2026-04-07 21:00:00+00:00,319.65551999999997,9.665232808689058,-102.07288600680283,-0.010652112773864904,Short,Closed,13
14,0,29.65829167587583,2026-04-07 21:00:00+00:00,319.65551999999997,9.480436647962318,2026-04-13 21:00:00+00:00,316.856312,9.397416920638316,-101.8975808940441,-0.010748194906816872,Long,Closed,14
15,0,29.599034349850115,2026-04-13 21:00:00+00:00,316.856312,9.378640862854825,2026-04-15 21:00:00+00:00,322.417728,9.54325340607112,-183.53443748673286,-0.01956940671581123,Short,Closed,15
16,0,28.51980203909411,2026-04-15 21:00:00+00:00,322.417728,9.195289776453034,2026-04-27 21:00:00+00:00,319.564144,9.113906125672564,-99.69284668405251,-0.010841729745083897,Long,Closed,16
17,0,28.462819417637384,2026-04-27 21:00:00+00:00,319.564144,9.095696523023868,2026-05-12 21:00:00+00:00,326.01059999999995,9.279180836033802,-201.8591903708019,-0.02219282381067104,Short,Closed,17
18,0,27.281441125490723,2026-05-12 21:00:00+00:00,326.01059999999995,8.894038990184171,2026-05-21 21:00:00+00:00,322.202032,8.790135766521477,-121.58739842113452,-0.013670661726949892,Long,Closed,18
19,0,27.226932751613624,2026-05-21 21:00:00+00:00,322.202032,8.772573057697262,2026-06-02 21:00:00+00:00,323.628696,8.81141674248412,-56.42767458733034,-0.0064322832327762015,Short,Closed,19
20,0,26.932722166310043,2026-06-02 21:00:00+00:00,323.628696,8.716201754412928,2026-06-08 21:00:00+00:00,320.76318399999997,8.639025715852986,-94.53126603049425,-0.010845465570210199,Long,Closed,20
21,0,26.878910533610124,2026-06-08 21:00:00+00:00,320.7631839999999,8.621764925211922,2026-06-14 21:00:00+00:00,324.85967999999997,8.731874274696212,-127.46298868520024,-0.014783862676709112,Short,Closed,21
22,0,26.14799495024976,2026-06-14 21:00:00+00:00,324.85967999999997,8.494429272178776,2026-06-16 21:00:00+00:00,318.914664,8.3389790238326,-172.28365664316468,-0.020281957871780013,Long,Closed,22
23,0,26.095751204095414,2026-06-16 21:00:00+00:00,318.914664,8.322317727081685,2026-06-24 21:00:00+00:00,303.29,0.0,399.41502666450504,0.047993244161391134,Short,Open,23
